story_id,epic,feature,user_story,linked_cohort,acceptance_criteria,uat_pass_rate,dependency_count,open_questions,high_severity_defects,partner_signoff,readiness_score,release_decision,owner
DPRE-403,Campaign eligibility and suppression,"Acquisition, deepening, and retention targeting","As a Marketing partner, I need acquisition, deepening, and retention targeting for small business owners so I can improve incremental funded accounts.",DPR027,5,61.4,5,3,3,Approved,0,Escalate blockers,Rewards platform
DPRE-404,Campaign eligibility and suppression,"Acquisition, deepening, and retention targeting","As a Marketing partner, I need acquisition, deepening, and retention targeting for savings rate shoppers so I can improve incremental funded accounts.",DPR009,9,79.2,2,6,3,Approved,30.1,Escalate blockers,Marketing
DPRE-301,Rewards activation rules,Debit and credit loyalty bonus eligibility cues,"As a Rewards platform owner, I need debit and credit loyalty bonus eligibility cues for small business owners so I can improve reward utilization.",DPR030,6,68.6,4,6,0,In review,34.9,Groom next sprint,Pricing analytics
DPRE-502,Servicing and complaint resolution,Client issue taxonomy and enablement document set,"As a Servicing teammate, I need client issue taxonomy and enablement document set for emerging affluent so I can improve complaint repeat rate.",DPR005,5,87.0,5,4,0,Approved,40.0,Groom next sprint,Distribution
DPRE-402,Campaign eligibility and suppression,"Acquisition, deepening, and retention targeting","As a Marketing partner, I need acquisition, deepening, and retention targeting for savings rate shoppers so I can improve incremental funded accounts.",DPR004,7,86.7,5,6,0,In review,42.0,Groom next sprint,Servicing enablement
DPRE-504,Servicing and complaint resolution,Client issue taxonomy and enablement document set,"As a Servicing teammate, I need client issue taxonomy and enablement document set for branch-assisted households so I can improve complaint repeat rate.",DPR016,7,63.5,2,0,2,In review,46.1,Escalate blockers,Servicing enablement
DPRE-304,Rewards activation rules,Debit and credit loyalty bonus eligibility cues,"As a Rewards platform owner, I need debit and credit loyalty bonus eligibility cues for branch-assisted households so I can improve reward utilization.",DPR039,6,87.4,1,6,1,In review,48.5,Escalate blockers,Distribution
DPRE-103,Balance-tier benefit transparency,Monthly level evaluation and client explanation,"As a Relationship banker, I need monthly level evaluation and client explanation for early-tenure checking so I can improve benefit upgrade rate.",DPR043,5,75.0,4,2,0,Needs legal review,49.2,Route for control review,Distribution
DPRE-203,Competitive pricing exception workflow,Rate-gap review packet and approval lane,"As a Deposit pricing analyst, I need rate-gap review packet and approval lane for small business owners so I can improve balances retained.",DPR023,5,58.4,4,1,0,Blocked,49.5,Escalate blockers,Technology
DPRE-302,Rewards activation rules,Debit and credit loyalty bonus eligibility cues,"As a Rewards platform owner, I need debit and credit loyalty bonus eligibility cues for emerging affluent so I can improve reward utilization.",DPR038,5,62.0,3,2,0,In review,50.0,Groom next sprint,Marketing
DPRE-202,Competitive pricing exception workflow,Rate-gap review packet and approval lane,"As a Deposit pricing analyst, I need rate-gap review packet and approval lane for premier relationship so I can improve balances retained.",DPR044,8,70.6,5,2,0,Needs risk review,53.5,Route for control review,Pricing analytics
DPRE-503,Servicing and complaint resolution,Client issue taxonomy and enablement document set,"As a Servicing teammate, I need client issue taxonomy and enablement document set for digital-first households so I can improve complaint repeat rate.",DPR042,4,73.9,3,1,0,In review,56.1,Groom next sprint,Risk and compliance
DPRE-101,Balance-tier benefit transparency,Monthly level evaluation and client explanation,"As a Relationship banker, I need monthly level evaluation and client explanation for debit-engaged households so I can improve benefit upgrade rate.",DPR019,6,92.8,4,3,0,Approved,57.0,Groom next sprint,Pricing analytics
DPRE-604,Risk-controlled pricing release,"Legal, risk, compliance, and operations signoff","As a Risk partner, I need legal, risk, compliance, and operations signoff for early-tenure checking so I can improve control exception rate.",DPR025,9,79.6,2,1,2,Blocked,60.5,Escalate blockers,Technology
DPRE-602,Risk-controlled pricing release,"Legal, risk, compliance, and operations signoff","As a Risk partner, I need legal, risk, compliance, and operations signoff for early-tenure checking so I can improve control exception rate.",DPR020,5,71.0,2,0,0,In review,64.7,Groom next sprint,Deposit product
DPRE-102,Balance-tier benefit transparency,Monthly level evaluation and client explanation,"As a Relationship banker, I need monthly level evaluation and client explanation for digital-first households so I can improve benefit upgrade rate.",DPR047,5,99.0,1,5,0,In review,65.6,Groom next sprint,Risk and compliance
DPRE-601,Risk-controlled pricing release,"Legal, risk, compliance, and operations signoff","As a Risk partner, I need legal, risk, compliance, and operations signoff for branch-assisted households so I can improve control exception rate.",DPR016,7,81.7,4,0,0,Approved,67.3,Groom next sprint,Risk and compliance
DPRE-201,Competitive pricing exception workflow,Rate-gap review packet and approval lane,"As a Deposit pricing analyst, I need rate-gap review packet and approval lane for debit-engaged households so I can improve balances retained.",DPR014,8,89.1,5,1,0,In review,69.0,Groom next sprint,Pricing analytics
DPRE-303,Rewards activation rules,Debit and credit loyalty bonus eligibility cues,"As a Rewards platform owner, I need debit and credit loyalty bonus eligibility cues for emerging affluent so I can improve reward utilization.",DPR010,9,75.6,2,4,0,Needs legal review,69.9,Route for control review,Distribution
DPRE-204,Competitive pricing exception workflow,Rate-gap review packet and approval lane,"As a Deposit pricing analyst, I need rate-gap review packet and approval lane for small business owners so I can improve balances retained.",DPR030,9,74.5,1,5,0,In review,70.5,Groom next sprint,Technology
DPRE-104,Balance-tier benefit transparency,Monthly level evaluation and client explanation,"As a Relationship banker, I need monthly level evaluation and client explanation for debit-engaged households so I can improve benefit upgrade rate.",DPR014,6,99.0,1,5,0,In review,71.8,Groom next sprint,Risk and compliance
DPRE-501,Servicing and complaint resolution,Client issue taxonomy and enablement document set,"As a Servicing teammate, I need client issue taxonomy and enablement document set for savings rate shoppers so I can improve complaint repeat rate.",DPR009,7,89.0,1,4,0,Needs legal review,75.2,Route for control review,Rewards platform
DPRE-401,Campaign eligibility and suppression,"Acquisition, deepening, and retention targeting","As a Marketing partner, I need acquisition, deepening, and retention targeting for branch-assisted households so I can improve incremental funded accounts.",DPR039,6,99.0,3,0,0,Approved,77.5,Groom next sprint,Deposit product
DPRE-603,Risk-controlled pricing release,"Legal, risk, compliance, and operations signoff","As a Risk partner, I need legal, risk, compliance, and operations signoff for savings rate shoppers so I can improve control exception rate.",DPR001,9,67.5,3,0,0,Approved,78.6,Ready for release,Marketing
