action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,DEP004,monitor,25,2.2,Proposed
ACT0002,DEP012,escalate,9,4.4,Complete
ACT0003,DEP021,monitor,8,12.4,Ready
ACT0004,DEP028,automate,23,5.9,Complete
ACT0005,DEP006,automate,25,5.5,In Review
ACT0006,DEP025,automate,15,10.8,Ready
ACT0007,DEP023,monitor,10,4.0,Ready
ACT0008,DEP032,escalate,2,18.8,In Review
ACT0009,DEP010,document,19,4.7,Complete
ACT0010,DEP005,automate,32,4.4,In Review
ACT0011,DEP021,escalate,29,16.2,Ready
ACT0012,DEP034,document,34,6.3,In Review
ACT0013,DEP019,escalate,13,11.2,Ready
ACT0014,DEP022,escalate,41,15.9,Proposed
ACT0015,DEP016,monitor,30,10.2,Ready
ACT0016,DEP021,monitor,22,22.3,Ready
ACT0017,DEP030,prioritize,41,11.5,Complete
ACT0018,DEP011,validate,31,20.3,Complete
ACT0019,DEP015,validate,7,2.7,In Review
ACT0020,DEP012,validate,4,15.9,Complete
ACT0021,DEP036,monitor,3,19.2,Proposed
ACT0022,DEP016,escalate,2,18.8,Complete
ACT0023,DEP017,escalate,10,8.6,In Review
ACT0024,DEP004,escalate,21,7.4,Ready
ACT0025,DEP015,prioritize,28,20.3,In Review
ACT0026,DEP021,monitor,18,11.5,Proposed
ACT0027,DEP007,document,17,5.0,Proposed
ACT0028,DEP030,validate,26,23.8,Ready
ACT0029,DEP022,automate,32,15.4,Proposed
ACT0030,DEP020,monitor,10,2.8,Proposed
ACT0031,DEP029,escalate,21,5.0,Ready
ACT0032,DEP008,validate,8,6.3,In Review
ACT0033,DEP032,automate,24,19.7,Ready
ACT0034,DEP022,monitor,29,12.8,In Review
ACT0035,DEP003,escalate,18,2.3,In Review
ACT0036,DEP009,escalate,9,17.9,Complete
ACT0037,DEP031,escalate,32,14.2,Complete
ACT0038,DEP016,document,43,7.3,In Review
ACT0039,DEP019,monitor,16,17.5,Complete
ACT0040,DEP027,prioritize,28,5.5,Complete
ACT0041,DEP030,document,3,6.9,Ready
ACT0042,DEP026,document,11,15.2,Ready
ACT0043,DEP028,document,34,19.4,Complete
ACT0044,DEP031,automate,18,5.6,Complete
ACT0045,DEP008,prioritize,37,10.5,Proposed
ACT0046,DEP001,automate,23,6.4,Complete
